GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit5,com.database,DatabaseUtil,0,85,0,6,0,12,0,4,0,1
junit5,com.database,Credentials,4,66,4,6,0,16,4,8,0,7
junit5,com.database,Database,24,37,4,0,4,16,3,5,1,5
junit5,com.airport,PremiumFlight,0,24,0,4,0,8,0,5,0,3
junit5,com.airport,BusinessFlight,0,16,0,2,0,6,0,4,0,3
junit5,com.airport,EconomyFlight,0,19,0,2,0,6,0,4,0,3
junit5,com.airport,Passenger,4,43,3,3,0,11,3,5,0,5
junit5,com.airport,Flight,0,25,0,0,0,9,0,5,0,5
junit5,com.airconditioning,Thermometer,0,26,0,2,0,9,0,6,0,5
junit5,com.airconditioning,AirConditioningSystem,0,30,0,2,0,10,0,6,0,5
junit5,com.airconditioning,Sensor,10,0,0,0,4,0,3,0,3,0
junit5,com.milage,Milage,0,91,0,6,0,14,0,7,0,4
